author_id,product_id
4543575,181379116
8204590,271986931
17698,1007137
3971443,67991602
4107,271320337
14814,207035103
460157,185340443
564509,207400598
400155,179063952
3673,39521136
205513,42824439
5259837,261028263
4406,76175424
153340,13290131
8116883,214497210
939,7958959
4289061,95289208
5139,228989363
457995,263068035
4107,171549946
7142,143186001
8205371,271317262
4107,6807847
427945,193640490
160457,138269668
74621,140416373
3840,241821098
8074573,270659973
3529,271414258
7808461,197629473
4043,90985722
25951,263697449
17569,91947689
12361,73316970
7905573,204875004
696765,185027506
5375689,157195847
433983,161008717
108041,175149079
9173,378448
3322,1353607
4107,10392851
619081,271394414
1178,249875509
227825,5743603
5287,104314401
150784,112110014
79888,35191892
742,203958084
74621,55876061
212261,272122633
922871,59078520
41328,174842858
6027,394013
143927,58810062
114705,56320011
143615,161256048
113325,262662798
5158733,261840611
152738,1667307
26874,207395736
12361,73515859
4406,171549981
13081,8885999
10113,87959748
5292633,147220978
4545457,207754451
7303815,183251642
8191893,262525582
762,76105910
637417,54422942
4768861,271440155
5388533,160488880
45799,271380890
203053,271734603
8163879,243094556
20774,271366762
19185,7833728
8116361,216203823
443149,248362147
9363,3320499
24766,47342678
721,127844385
14294,253468339
629731,44976191
18447,195545270
21877,270884618
5259837,263401181
16423,17944708
80007,562909
26768,40933969
9867,87726331
434073,22881835
7358851,201562338
40830,199177647
490595,24490036
46005,271806589
7357283,186271356
19679,52329861
22387,195624160
8203127,270977375
8170181,248936936
440639,84565498
79552,35360233
4244713,207035097
12050,129381098
7505895,195801321
304365,271790559
187777,59010153
8208585,272122642
8201753,270735747
5338649,154245455
22477,252865785
699523,83162438
437257,179063939
48951,271996312
172973,161426354
195355,172206434
4676101,87959745
4807,68330624
434895,195545372
491329,271478393
21038,377644
4654927,85924601
719909,263492795
112184,12377498
709597,271734152
74283,13833466
212261,271537822
150811,89480924
363,104074993
4509623,77324132
4507505,77112144
280037,74981856
7819765,198414891
24827,242084231
8140131,229714486
180863,271337379
14863,225909085
7865185,216124178
305,55319105
50198,67477617
4375,159484590
5400087,253468339
359,111285050
5582277,167940010
8164585,271478398
20551,129937246
3538,2496281
171,57049003
4545457,270224413
4522691,77982978
3842,100376369
4630559,120790288
312,267340208
483181,161245852
145485,271478393
212259,272122633
686,165956569
5704699,173882436
4771,267208813
3971,168662171
7984445,206675362
74621,111580006
46005,270883265
665371,263336471
3974,271000195
20319,165150439
79888,184419723
185035,263640509
198207,271518927
4043,106225658
4966425,105985514
7322639,225912339
290845,11122712
5632865,169640941
4642661,84970841
5697027,263401195
236147,6669495
150,124250341
8206267,271455705
8195759,270850444
17714,175149079
3974,198208147
3424,5914507
5008765,271121222
152332,68049234
661139,196515739
8115769,216001230
163063,1664553
363,2126103
3840,53720978
64143,253656615
4063675,262590487
3876,542912
19205,22472008
172191,49722650
34189,213565319
5229343,136941173
10958,263515815
8196378,263486742
53774,3639597
301245,73787185
12361,75307228
886797,212356656
363661,243006523
160585,263385007
20136,58547334
223833,262663936
1501,50322156
4107,271983692
8205375,271317275
18561,117137089
25376,161310103
447233,70016692
1071,171821043
8050959,208206808
48951,208289682
5001975,108684605
10550,58709251
17769,253396853
8051679,271966497
512785,138226289
685193,48592472
709597,249697050
16485,113583126
13992,1464015
8200533,271021992
3322,132366467
435363,57037220
150811,71553537
212259,271537822
4292557,74021317
4995415,121635154
859989,56697257
4908,201845361
144159,78975610
14989,209388637
12361,184070223
164739,124767704
51129,50246205
8203336,271005399
8065175,209306291
455823,192475873
4744885,146223395
4225365,270990937
363,120219394
4411,113540576
8208586,272122642
7417135,271733296
4739743,92859698
18838,91947575
1770,157255752
164739,199216988
7271927,179952615
50949,59077209
144154,202429194
4213807,71345381
512785,76013378
149415,59618902
295187,69764547
7358851,270234756
4180383,70637402
457353,100931414
13835,55589742
7807,23437828
48690,193895767
324859,170490702
34189,270461477
159417,147988216
4545457,270224435
103388,33596834
8074573,270884616
145753,11122712
3842,249875170
5821,4184871
79552,116406672
53772,156234331
3673,196411147
63949,540039
663931,261989315
19881,2254433
15173,13312178
143615,263697449
486397,56373209
7398233,190705657
143619,139303869
3840,192949866
13024,120305117
6959851,262806374
144223,59293803
8182773,271493954
10289,130230758
3322,235728500
15010,50723822
5092,91947575
244813,242751720
4545457,54614797
8078069,212992710
52430,48629531
536293,67991610
17779,31716464
177689,71957923
184,9948025
611193,95220861
8200533,270442370
365031,176824204
24841,67325081
24945,117595535
460157,271394416
50163,144203242
203053,247858581
48494,53720983
5199759,201877500
4543575,80141519
74621,129381090
8206636,271528828
10193,210277880
5227107,136143567
789253,72223123
3322,262662798
4063679,262590479
45799,248541389
3322,997529
4545457,173763072
4654419,140416366
15021,184101370
79690,48399097
144407,168283405
25282,1635863
536293,67991600
12958,140416370
160697,32155084
4545457,257914881
286381,38265901
8051677,208289515
8067985,210277408
12355,790312
4161,270734386
3974,13446508
6267,76443018
34516,187619074
4043,11428231
5245,107802188
17575,567066
8196027,271759937
5139,248264491
4957769,105483727
286335,75813201
170719,69764534
363,116397449
505125,26114399
4072,173515426
21961,38223395
27275,209398526
936567,263980760
437993,158019964
7481,187934043
203053,270469918
27745,69644752
7244455,178483631
26044,9709310
8103645,215123449
519547,253129523
9345,271361726
22477,263970099
26768,50303829
4289063,200780130
4309013,74616448
8201345,270663278
163067,1664553
13801,270744932
12361,59478514
146329,271162836
133,111285062
19508,365780
13038,19662184
4428249,263559021
457351,100931414
664477,47469938
79605,179063952
164739,214922278
145333,13333355
3840,243097256
4002661,272107823
1071,113540577
4043,13797246
3974,160370181
19615,109017985
74621,54748899
152781,85923518
3813847,271478392
435145,193099631
697795,49747007
5576845,242310231
363,76776251
8170123,249535107
4371,195291930
4411,113540588
7980181,205928370
167713,252131251
4783431,95311757
143941,91444567
8186345,270510853
8200964,270507917
505225,212992710
80007,562910
108351,63516905
434007,148066625
10849,170708223
7516061,271626067
149417,59618902
4253793,200634061
175517,252044264
8189299,261038020
79702,269323661
